ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist
1	18	0.1	5	0.2	40	0.2	29	0.2	28	0.2	
2	46	0.2	13	0.2	26	0.3	10	0.3	38	0.3	
3	48	0.2	43	0.3	30	0.3	36	0.4	4	0.4	
4	48	0.2	31	0.3	30	0.3	3	0.4	10	0.4	
5	1	0.2	18	0.3	41	0.3	50	0.3	8	0.3	
6	17	0.4	19	0.5	11	0.6	45	0.6	21	0.7	
7	48	0.3	4	0.5	3	0.5	12	0.5	43	0.6	
8	40	0.1	50	0.2	1	0.3	27	0.3	29	0.3	
9	39	0.2	43	0.4	4	0.5	48	0.5	46	0.6	
10	35	0.0	38	0.0	2	0.3	31	0.3	13	0.3	
11	49	0.1	28	0.4	37	0.5	32	0.5	21	0.5	
12	30	0.3	31	0.3	25	0.3	8	0.3	40	0.4	
13	46	0.2	2	0.2	35	0.3	38	0.3	10	0.3	
14	39	0.4	9	0.6	43	0.6	13	0.8	4	0.9	
15	34	0.7	17	0.8	19	0.9	37	0.9	11	1.0	
16	34	0.7	19	0.9	15	1.0	17	1.0	6	1.0	
17	6	0.4	11	0.6	37	0.7	34	0.7	32	0.7	
18	1	0.1	41	0.2	5	0.3	40	0.3	29	0.3	
19	6	0.5	11	0.7	21	0.8	49	0.8	47	0.8	
20	22	0.2	47	0.2	49	0.4	18	0.4	5	0.5	
21	32	0.4	11	0.5	28	0.5	29	0.5	40	0.5	
22	20	0.2	47	0.4	49	0.4	18	0.4	45	0.5	
23	7	0.7	48	0.8	5	0.8	3	0.8	43	0.9	
24	27	0.4	44	0.5	40	0.6	50	0.7	8	0.7	
25	12	0.3	30	0.6	31	0.6	8	0.6	40	0.7	
26	2	0.3	31	0.3	35	0.4	10	0.4	38	0.4	
27	44	0.3	8	0.3	24	0.4	40	0.4	12	0.4	
28	29	0.2	1	0.2	40	0.2	49	0.3	8	0.3	
29	28	0.2	1	0.2	40	0.2	8	0.3	50	0.3	
30	31	0.2	12	0.3	3	0.3	4	0.3	48	0.3	
31	30	0.2	12	0.3	4	0.3	26	0.3	38	0.3	
32	21	0.4	29	0.5	28	0.5	11	0.5	27	0.5	
33	49	0.6	20	0.6	47	0.6	34	0.6	28	0.7	
34	33	0.6	17	0.7	11	0.7	15	0.7	16	0.7	
35	10	0.0	38	0.0	2	0.3	31	0.3	13	0.3	
36	50	0.3	3	0.4	2	0.5	8	0.5	41	0.5	
37	29	0.5	11	0.5	28	0.5	1	0.5	32	0.6	
38	10	0.0	35	0.0	2	0.3	31	0.3	13	0.3	
39	9	0.2	43	0.2	14	0.4	4	0.5	48	0.5	
40	8	0.1	1	0.2	29	0.2	28	0.2	50	0.3	
41	18	0.2	1	0.3	5	0.3	50	0.4	8	0.4	
42	9	0.9	39	0.9	46	1.1	43	1.1	4	1.2	
43	39	0.2	48	0.3	3	0.3	9	0.4	4	0.5	
44	27	0.3	24	0.5	22	0.6	18	0.6	41	0.6	
45	22	0.5	47	0.5	20	0.5	6	0.6	27	0.8	
46	13	0.2	2	0.2	31	0.4	3	0.5	48	0.5	
47	20	0.2	22	0.4	49	0.4	5	0.5	45	0.5	
48	4	0.2	3	0.2	43	0.3	7	0.3	30	0.3	
49	11	0.1	28	0.3	20	0.4	47	0.4	22	0.4	
50	8	0.2	36	0.3	1	0.3	40	0.3	29	0.3	
51	87	0.5	53	0.5	66	0.7	77	0.7	52	0.9	
52	57	0.5	76	0.6	55	0.6	66	0.6	87	0.6	
53	87	0.4	51	0.5	78	0.6	77	0.6	66	0.8	
54	90	0.2	81	0.5	70	0.6	82	0.7	95	0.7	
55	59	0.4	76	0.6	52	0.6	77	0.6	87	0.6	
56	97	0.4	100	0.4	95	0.5	67	0.5	91	0.6	
57	52	0.5	86	0.6	87	0.7	71	0.8	64	0.8	
58	94	0.2	99	0.7	61	0.7	82	1.0	81	1.2	
59	76	0.4	55	0.4	75	0.5	66	0.6	77	0.6	
60	90	0.7	95	0.8	83	0.8	100	0.9	70	0.9	
61	94	0.5	58	0.7	82	1.1	99	1.2	81	1.3	
62	79	0.5	97	0.5	96	0.5	67	0.6	89	0.6	
63	68	0.8	93	0.8	54	0.9	70	0.9	72	1.0	
64	92	0.2	74	0.3	79	0.4	98	0.6	139	0.7	
65	89	0.6	100	0.7	97	0.7	83	0.8	95	0.8	
66	76	0.2	87	0.4	52	0.6	59	0.6	51	0.7	
67	85	0.2	79	0.5	56	0.5	89	0.6	62	0.6	
68	83	0.4	93	0.4	100	0.5	95	0.6	97	0.7	
69	88	0.5	120	0.7	73	0.8	79	0.9	55	1.0	
70	81	0.3	90	0.4	82	0.5	83	0.5	93	0.5	
71	139	0.3	150	0.5	128	0.5	127	0.7	57	0.8	
72	100	0.5	98	0.5	83	0.6	93	0.6	97	0.7	
73	134	0.5	147	0.5	124	0.5	120	0.7	84	0.8	
74	64	0.3	92	0.5	56	0.7	79	0.7	98	0.7	
75	98	0.2	59	0.5	76	0.5	55	0.7	66	0.7	
76	66	0.2	59	0.4	75	0.5	55	0.6	52	0.6	
77	87	0.6	55	0.6	59	0.6	53	0.6	51	0.7	
78	53	0.6	87	0.6	148	0.7	146	0.8	77	0.8	
79	92	0.4	64	0.4	62	0.5	67	0.5	56	0.6	
80	82	0.6	70	0.7	68	0.8	83	0.8	93	0.8	
81	82	0.2	70	0.3	90	0.5	54	0.5	93	0.8	
82	81	0.2	70	0.5	80	0.6	90	0.7	54	0.7	
83	93	0.2	68	0.4	100	0.5	70	0.5	72	0.6	
84	134	0.5	102	0.5	143	0.5	150	0.6	124	0.7	
85	67	0.2	79	0.7	56	0.7	89	0.8	62	0.8	
86	79	0.6	57	0.6	52	0.7	71	0.8	92	0.8	
87	66	0.4	53	0.4	51	0.5	77	0.6	78	0.6	
88	69	0.5	98	0.8	75	0.8	73	0.9	59	1.1	
89	100	0.3	97	0.3	96	0.3	95	0.4	65	0.6	
90	54	0.2	70	0.4	93	0.5	95	0.5	81	0.5	
91	95	0.5	56	0.6	90	0.6	93	0.7	70	0.8	
92	64	0.2	79	0.4	74	0.5	98	0.6	62	0.7	
93	83	0.2	68	0.4	100	0.5	90	0.5	70	0.5	
94	58	0.2	61	0.5	99	0.7	82	1.0	81	1.2	
95	97	0.3	100	0.3	89	0.4	56	0.5	91	0.5	
96	97	0.2	89	0.3	100	0.4	62	0.5	95	0.5	
97	96	0.2	100	0.2	95	0.3	89	0.3	56	0.4	
98	75	0.2	72	0.5	97	0.6	79	0.6	92	0.6	
99	58	0.7	94	0.7	61	1.2	81	1.3	80	1.3	
100	97	0.2	95	0.3	89	0.3	56	0.4	96	0.4	
101	137	0.6	145	0.7	144	0.9	149	1.0	105	1.0	
102	143	0.0	114	0.5	84	0.5	150	0.5	122	0.6	
103	144	0.7	113	0.7	126	0.7	130	0.7	121	0.8	
104	117	0.4	138	0.4	129	0.5	133	0.6	112	0.7	
105	133	0.5	129	0.6	113	0.7	125	0.7	117	0.7	
106	123	0.5	136	0.8	108	1.0	119	1.0	131	1.1	
107	85	1.2	91	1.3	67	1.4	60	1.4	56	1.5	
108	131	0.5	126	0.7	130	0.9	103	1.0	106	1.0	
109	117	1.0	104	1.0	112	1.1	129	1.1	105	1.1	
110	126	1.2	145	1.2	144	1.2	121	1.3	103	1.3	
111	148	0.3	116	0.6	138	0.8	78	0.8	142	0.8	
112	148	0.6	129	0.6	124	0.6	147	0.6	117	0.7	
113	140	0.3	146	0.6	141	0.6	125	0.6	117	0.6	
114	143	0.5	102	0.5	122	0.5	147	0.7	115	0.9	
115	102	0.6	143	0.6	122	0.8	114	0.9	150	0.9	
116	149	0.5	146	0.6	111	0.6	148	0.7	137	0.7	
117	138	0.2	104	0.4	148	0.5	113	0.6	112	0.7	
118	132	0.7	106	1.1	123	1.2	119	1.5	136	1.5	
119	123	0.7	106	1.0	136	1.2	118	1.5	131	1.7	
120	73	0.7	84	0.7	69	0.7	134	1.0	147	1.0	
121	144	0.3	125	0.5	145	0.5	141	0.5	140	0.6	
122	114	0.5	102	0.6	143	0.6	115	0.8	150	0.9	
123	106	0.5	119	0.7	131	1.0	136	1.1	108	1.1	
124	127	0.3	147	0.4	128	0.5	73	0.5	134	0.6	
125	145	0.4	121	0.5	144	0.6	113	0.6	141	0.6	
126	130	0.6	108	0.7	103	0.7	131	0.8	144	1.0	
127	124	0.3	139	0.4	128	0.4	147	0.7	134	0.7	
128	139	0.2	150	0.4	127	0.4	124	0.5	71	0.5	
129	133	0.1	104	0.5	112	0.6	105	0.6	113	0.7	
130	126	0.6	103	0.7	108	0.9	131	1.0	109	1.2	
131	108	0.5	126	0.8	136	0.9	103	0.9	130	1.0	
132	118	0.7	106	1.4	123	1.5	136	1.6	110	1.7	
133	129	0.1	105	0.5	104	0.6	112	0.7	113	0.8	
134	73	0.5	84	0.5	124	0.6	127	0.7	55	0.7	
135	84	0.9	104	0.9	134	1.0	73	1.1	64	1.2	
136	106	0.8	131	0.9	103	1.0	123	1.1	108	1.2	
137	149	0.4	101	0.6	116	0.7	141	0.7	145	0.7	
138	117	0.2	104	0.4	148	0.7	112	0.7	129	0.7	
139	128	0.2	71	0.3	150	0.4	127	0.4	64	0.7	
140	113	0.3	142	0.5	121	0.6	141	0.7	125	0.7	
141	145	0.4	121	0.5	113	0.6	146	0.6	125	0.6	
142	146	0.4	140	0.5	121	0.7	116	0.8	111	0.8	
143	102	0.0	114	0.5	84	0.5	150	0.5	122	0.6	
144	121	0.3	125	0.6	145	0.6	141	0.6	103	0.7	
145	125	0.4	141	0.4	121	0.5	144	0.6	101	0.7	
146	142	0.4	148	0.5	113	0.6	116	0.6	141	0.6	
147	124	0.4	73	0.5	112	0.6	127	0.7	114	0.7	
148	111	0.3	117	0.5	146	0.5	112	0.6	116	0.7	
149	137	0.4	116	0.5	101	1.0	133	1.1	141	1.1	
150	128	0.4	139	0.4	71	0.5	102	0.5	143	0.5	
