ID	1st	1st dist	2nd	2nd dist	3rd	3rd dist	4th	4th dist	5th	5th dist	6th	6thdist
"9364"	"26972"	0.05128618	"16934"	0.07959451	"31329"	0.16251653	"12867"	0.16712583	"5907"	0.17107985	"26969"	0.20484580	
"25668"	"1139"	0.06683082	"658"	0.07386711	"4342"	0.09295031	"19457"	0.09503493	"8016"	0.10552350	"24114"	0.10714170	
"13316"	"1589"	1.42998478	"29011"	1.44860987	"7444"	1.73227503	"25584"	1.73288932	"25032"	1.73486791	"5305"	1.73489506	
"28750"	"16621"	1.46058307	"24722"	1.76068682	"26047"	1.76122657	"32148"	1.76922432	"24493"	1.77491405	"21260"	1.77709275	
"30619"	"21760"	0.26544685	"18238"	0.29883766	"26785"	0.32189845	"31260"	0.34015614	"32405"	1.00040322	"18457"	1.01498315	
"1484"	"15898"	0.12105511	"4184"	0.17120181	"12275"	0.17567425	"13030"	0.19595943	"473"	0.19814697	"105"	0.20746469	
"17193"	"30916"	1.01085664	"26050"	1.01152914	"3804"	1.01174722	"18799"	1.01289443	"7800"	1.01356151	"14374"	1.01915963	
"29052"	"26143"	0.05312214	"25165"	0.08348346	"31500"	0.23949621	"12035"	0.26146478	"15555"	0.29110140	"4399"	0.41156947	
"17951"	"12065"	0.19601231	"1149"	0.26013881	"943"	0.30092875	"9938"	0.45264261	"6218"	0.50000812	"19532"	0.55547670	
"14864"	"13555"	1.00230322	"11233"	1.00250265	"5995"	1.00410803	"16996"	1.00472820	"31454"	1.00494597	"10798"	1.00555183	
"31146"	"22153"	0.14773567	"11611"	0.22774810	"16105"	0.26517939	"12358"	0.30846832	"4144"	0.30992078	"30468"	0.31618625	
"14757"	"11441"	1.44001736	"31572"	1.52500502	"14294"	1.52678841	"9169"	1.55361261	"31420"	1.56691367	"13755"	1.59493137	
"22055"	"10196"	0.20261714	"20157"	1.00625187	"15698"	1.00870757	"12945"	1.00891275	"14650"	1.00912425	"7775"	1.01046369	
"18639"	"17957"	1.02313959	"9636"	1.03536298	"5534"	1.04523277	"8825"	1.05898708	"2941"	1.07288900	"32023"	1.08158896	
"3350"	"25609"	0.01839220	"12158"	0.06694001	"1419"	0.07668964	"15813"	0.12242274	"15173"	0.49678280	"14475"	1.00174050	
"29286"	"3293"	0.24003766	"13391"	0.24855401	"21694"	0.30301254	"30022"	0.30952760	"32508"	0.34010513	"13407"	0.34438320	
"8009"	"28411"	0.07737650	"29825"	0.08890506	"4351"	1.00092204	"16187"	1.00143582	"13364"	1.00171200	"10225"	1.00293625	
"1369"	"11765"	1.42050037	"24124"	1.68815204	"969"	1.73295321	"30291"	1.73343427	"23736"	1.73346772	"26831"	1.73381622	
"10672"	"26143"	1.00504044	"29052"	1.00522885	"25165"	1.00611152	"16899"	1.01188137	"21195"	1.01753976	"27923"	1.02516719	
"31062"	"12452"	1.40059563	"3132"	1.41481823	"3852"	1.41528461	"21395"	1.41917156	"518"	1.42408985	"3898"	1.42548012	
"28947"	"6456"	0.10509140	"15910"	0.15069433	"27863"	0.15157748	"26039"	0.17793657	"1198"	0.19536486	"26976"	0.26083861	
"22544"	"26644"	0.19089548	"11986"	0.25347455	"16965"	0.26803347	"10123"	0.32425793	"31453"	0.38700996	"15592"	0.51593251	
"20842"	"9366"	0.13288041	"12044"	0.21550582	"23342"	0.28739344	"30382"	0.28869537	"20107"	1.00095680	"29081"	1.00522127	
"32352"	"20357"	1.41716642	"7726"	1.42113744	"6603"	1.42183139	"1502"	1.42357629	"12064"	1.42367546	"3468"	1.42567162	
"21335"	"2261"	0.20610726	"19587"	0.21615810	"29737"	0.21979647	"31070"	0.23970745	"22892"	0.33239888	"31840"	1.00428723	
"23053"	"26728"	0.06470606	"28355"	0.09698525	"16189"	0.18383347	"11336"	0.24716243	"31163"	0.29403071	"9218"	0.29444032	
"17702"	"6137"	0.04377409	"17556"	0.05478930	"31989"	0.10148546	"9061"	0.10649719	"31250"	0.13580994	"23933"	0.52221305	
"19330"	"557"	0.02762110	"22829"	0.08322791	"28489"	0.10415624	"10798"	0.11212355	"10295"	0.11255726	"13555"	0.12586118	
"9408"	"7070"	0.46199049	"1409"	0.46233735	"29704"	0.46979106	"27961"	0.47272021	"4353"	0.50109354	"8346"	0.58911241	
"4786"	"19238"	1.73305190	"7822"	1.73340249	"6854"	1.73859313	"26414"	1.73966129	"279"	10.1489374	"14319"	10.1498219	
"31329"	"21301"	0.12395569	"16934"	0.15539606	"9364"	0.16251653	"26969"	0.17604540	"26972"	0.20357191	"5907"	0.30010082	
"29352"	"21861"	0.33870322	"25499"	0.34256081	"9025"	0.43026820	"22183"	0.52237394	"23247"	1.00979779	"4675"	1.01062301	
"22468"	"14895"	1.00090406	"25811"	1.00310778	"2772"	1.00884725	"19695"	1.00921426	"11652"	1.01953027	"26267"	1.02245170	
"25875"	"13274"	0.19115559	"6201"	0.31306868	"25996"	0.58965893	"16589"	0.65720855	"20802"	1.01115153	"21825"	1.01321111	
"801"	"17167"	1.00016846	"10260"	1.00046810	"31286"	1.00052497	"13621"	1.00076104	"16959"	1.00089905	"8433"	1.00093435	
"15541"	"29986"	1.00322000	"7129"	1.06451612	"25772"	1.41660681	"1660"	1.41771712	"13826"	1.41976039	"4641"	1.42335429	
"24669"	"26524"	1.00141164	"17472"	1.00230930	"647"	1.00552220	"32535"	1.00983322	"31725"	1.01120037	"3638"	1.01155539	
"7039"	"22620"	1.00151501	"748"	1.01713123	"23459"	1.02951667	"26421"	1.06380719	"27982"	1.41461418	"15860"	1.41481593	
"10349"	"12295"	0.24653679	"22550"	1.00192220	"31414"	1.00233047	"31473"	1.00529909	"29534"	1.00552558	"23532"	1.00659236	
"7533"	"15680"	0.12946134	"6122"	0.15821294	"25275"	0.16410255	"19678"	0.16671817	"22669"	0.17235443	"5014"	0.18380775	
"4644"	"18499"	0.24126095	"31315"	1.02577089	"14292"	1.03533810	"739"	1.04043297	"12616"	1.41991379	"1411"	1.42295006	
"13482"	"5056"	1.00637736	"13970"	1.41448064	"3898"	1.41506791	"10473"	1.41630530	"31994"	1.41746204	"4462"	1.41764367	
"13454"	"23998"	0.02784716	"854"	0.06807060	"16949"	0.14298042	"19683"	0.16760969	"24886"	0.18413230	"21009"	0.21143286	
"11995"	"6595"	0.06068964	"10862"	0.08236306	"17775"	0.09599492	"14511"	0.27338499	"6512"	0.29902529	"27319"	1.00091584	
"4958"	"4124"	1.41483867	"24274"	1.41533951	"26556"	1.41549569	"8696"	1.41582765	"10086"	1.41612895	"18830"	1.41616951	
"4514"	"23274"	0.09971738	"10473"	0.15937734	"13970"	0.20668972	"4462"	0.22032958	"26630"	0.24848366	"31994"	0.27190385	
"7578"	"8559"	0.08798626	"24734"	0.14014755	"15151"	0.15044448	"25509"	0.15297908	"6806"	0.15333752	"25971"	0.15870615	
"15151"	"13417"	0.00908703	"25971"	0.02773981	"24514"	0.04319442	"8559"	0.06379985	"24734"	0.08223505	"25509"	0.08453237	
"8648"	"4840"	0.19185361	"27352"	1.05605858	"31898"	1.41483136	"15595"	1.42129716	"21307"	1.42141845	"146"	1.42279952	
"27890"	"8353"	1.00879946	"30959"	1.00880147	"31936"	1.03471650	"25728"	1.41446657	"11421"	1.41536192	"31586"	1.41553577	
"1491"	"31896"	0.17799939	"29885"	0.20357580	"32453"	0.21892641	"11184"	0.25024339	"3531"	0.26843407	"21396"	0.28935351	
"14376"	"22892"	1.00041521	"31070"	1.00758699	"29737"	1.01405917	"19587"	1.01650307	"2261"	1.03239808	"8159"	1.03892228	
"25973"	"21606"	0.05791415	"22324"	0.08795175	"25795"	0.12207799	"22006"	1.00210530	"25506"	1.00346433	"5663"	1.00370707	
"3963"	"12495"	1.00171162	"12890"	1.00421023	"11878"	1.01481153	"23943"	1.02112270	"25198"	1.02382323	"22547"	1.02500410	
"18235"	"15486"	0.07016008	"8511"	0.26331576	"6280"	0.29439752	"19790"	0.30623401	"7494"	0.31275049	"24102"	0.36376230	
"6714"	"4822"	1.00533484	"30160"	1.00908859	"29355"	1.02882041	"14882"	1.03411049	"23235"	1.05840418	"18996"	1.41494575	
"4146"	"12158"	1.00607868	"3350"	1.00713325	"1419"	1.00791235	"25609"	1.00844154	"15813"	1.02802751	"7903"	1.11465782	
"24486"	"17877"	0.25884846	"30688"	1.00151080	"29663"	1.00239615	"1762"	1.00246641	"11028"	1.00402903	"26349"	1.00448774	
"29092"	"11811"	0.21595954	"12275"	0.45799638	"15898"	0.45899651	"4184"	0.46424505	"105"	0.46633234	"473"	0.46745531	
"12171"	"728"	0.10887336	"8917"	0.11960496	"2609"	0.12557676	"16662"	0.13523638	"21983"	0.14544347	"29539"	0.20221714	
"21617"	"31023"	0.09977938	"13357"	0.18538409	"3333"	0.30335826	"22219"	0.38742208	"2792"	1.00054080	"18267"	1.00208095	
"3083"	"19651"	1.04077678	"13285"	1.42509382	"30621"	1.42597782	"18620"	1.42640386	"21199"	1.43311093	"1985"	1.43319727	
"12479"	"17731"	0.11433975	"1605"	0.19047554	"12757"	1.00326077	"4256"	1.01158955	"16059"	1.01211562	"900"	1.01628631	
"8917"	"16662"	0.06049326	"29539"	0.10363310	"2609"	0.11424860	"12171"	0.11960496	"21983"	0.13110959	"728"	0.17670597	
"26474"	"9933"	0.15397813	"1268"	0.22508774	"27028"	0.22705119	"11430"	0.35593237	"8374"	0.39727568	"11115"	0.41077926	
"14575"	"22799"	0.60992533	"12937"	1.00168821	"27467"	1.00188731	"5157"	1.00492834	"5591"	1.03045440	"6603"	1.03532785	
"26324"	"31228"	0.16031145	"10224"	0.55907359	"6290"	0.57320195	"12331"	1.01221651	"28881"	1.02128092	"20849"	1.02326495	
"26398"	"7553"	1.01347471	"11700"	1.02190220	"3295"	1.03465554	"30289"	1.05314396	"12744"	1.06983149	"26948"	1.41462683	
"25811"	"22468"	1.00310778	"14895"	1.41597024	"31572"	1.41716524	"19695"	1.42131204	"2772"	1.42310383	"9169"	1.42801120	
"14292"	"739"	0.32779320	"1411"	1.00616739	"14511"	1.00757059	"10862"	1.00768746	"6595"	1.01642854	"11995"	1.01763283	
"24514"	"25971"	0.01636534	"15151"	0.04319442	"25509"	0.04543240	"13417"	0.04679792	"8559"	0.07351610	"20608"	0.10551333	
"20444"	"21754"	1.01001041	"22462"	1.01042896	"3990"	1.01472452	"11999"	1.02093254	"31297"	1.03148350	"1747"	1.03324058	
"23074"	"31071"	0.20470213	"292"	1.00454640	"29822"	1.00563431	"7890"	1.00984468	"28555"	1.01023941	"22483"	1.01365558	
"21"	"18063"	0.10616555	"18013"	0.12583127	"23737"	0.17780868	"11514"	1.00459866	"13203"	1.00495758	"18793"	1.00541372	
"15442"	"11585"	1.04304499	"9326"	1.05273461	"6480"	1.08811547	"19453"	1.08815741	"6335"	1.09581606	"14248"	1.42927539	
"7151"	"12309"	1.00190439	"10225"	1.00344159	"27539"	1.00416495	"13364"	1.00458494	"4351"	1.00810451	"15646"	1.01045556	
"12339"	"26892"	1.73303120	"12269"	1.73510806	"30375"	1.73656534	"9351"	1.73701001	"27138"	1.73861668	"24827"	1.73878059	
"19906"	"20240"	0.10847985	"5060"	0.13796183	"29755"	0.14323137	"13672"	0.16866795	"1880"	0.18883217	"13904"	0.27391365	
"11428"	"1880"	0.19771259	"13904"	0.27849632	"13672"	0.28594135	"12204"	0.30507801	"19906"	0.30973361	"20240"	0.32438418	
"3610"	"23998"	1.41459189	"13454"	1.41498123	"18725"	1.41532545	"28555"	1.41766731	"16090"	1.41799164	"854"	1.41865556	
"7914"	"17351"	1.73210875	"12779"	1.73341927	"32530"	1.73364414	"11099"	1.73593911	"681"	1.73598572	"22311"	1.74223177	
"21699"	"12668"	1.01494865	"22397"	1.02390647	"27351"	1.04167426	"14214"	1.41531276	"4073"	1.41774457	"13609"	1.41827742	
"13565"	"37"	1.00001315	"21809"	1.00010713	"14197"	1.00037523	"18078"	1.01159235	"5853"	1.01219878	"24999"	1.02014407	
"25600"	"9865"	1.00775680	"21370"	1.00958723	"2321"	1.01205925	"14365"	1.01247784	"5707"	1.01275924	"7748"	1.01565698	
"3341"	"18457"	1.00188093	"24704"	1.00715053	"11010"	1.00771846	"16496"	1.01013722	"31414"	1.01050014	"4262"	1.01887661	
"14124"	"30413"	0.13747373	"7439"	1.02982753	"12854"	1.07307384	"28604"	1.12901240	"23647"	1.41486937	"4839"	1.42084172	
"31987"	"18469"	0.19220593	"17715"	0.20485835	"28523"	1.00201278	"21623"	1.00232153	"14129"	1.00267688	"27863"	1.00271212	
"29001"	"16662"	1.00727325	"29539"	1.00861164	"8917"	1.01057295	"21408"	1.01094291	"2609"	1.01180974	"21983"	1.01281836	
"28787"	"21238"	1.00847923	"8703"	1.01373107	"25506"	1.41627887	"7444"	1.41947361	"3295"	1.42088027	"26948"	1.42178438	
"5685"	"3084"	0.05675478	"19959"	0.08005435	"6772"	0.08995410	"13677"	0.10280828	"28254"	0.12372914	"23207"	0.16191450	
"4244"	"19189"	0.08196784	"7213"	0.10737330	"27456"	0.13096537	"28624"	0.29817469	"21370"	1.00185011	"5062"	1.00253273	
"21207"	"17655"	0.09589204	"24401"	0.10787343	"19830"	0.13040195	"12446"	0.15347626	"9092"	0.17266641	"11900"	0.18213512	
"11154"	"21343"	0.05284888	"29058"	0.11816759	"31435"	0.22665074	"13271"	0.23237077	"27863"	0.31118549	"6456"	0.39943724	
"21324"	"31673"	1.41838898	"4733"	1.73302051	"15060"	1.73644891	"17562"	1.73865165	"16187"	1.74141212	"8996"	1.74466112	
"10402"	"15046"	1.47467876	"31723"	1.74387941	"4293"	1.75444403	"18534"	1.75539150	"15889"	1.76564979	"3020"	1.77028817	
"6094"	"6597"	0.10131659	"1971"	0.12686751	"15171"	0.13224387	"20793"	0.22852116	"22693"	0.23976213	"2330"	1.00159742	
"25398"	"18561"	0.18739633	"6511"	0.20936920	"1762"	0.29821502	"20725"	0.31336946	"27724"	0.31384185	"26349"	0.41344517	
"3039"	"22871"	1.00354539	"24027"	1.01559273	"1569"	1.01788605	"20649"	1.02042614	"4631"	1.02401297	"31683"	1.02466841	
"15154"	"16899"	0.09744188	"4003"	1.00356830	"13276"	1.00657422	"12035"	1.00677572	"21195"	1.00738626	"311"	1.00815488	
"16605"	"16981"	0.48390874	"2755"	0.71706571	"13709"	1.05460000	"13337"	1.07369716	"30767"	1.08972303	"24343"	1.09607264	
"19477"	"31511"	0.07456050	"9205"	0.09702898	"16429"	0.11288459	"6600"	0.16117327	"3501"	0.18380665	"15276"	0.23110225	
"10804"	"11627"	0.21960633	"5259"	0.22433933	"10347"	0.26778277	"7791"	1.00009382	"19287"	1.00037696	"26850"	1.00094857	
"15860"	"8243"	0.10995247	"20215"	0.11038014	"2929"	0.11776839	"1346"	0.17880224	"21897"	0.18550153	"12020"	1.00042829	
"30981"	"11783"	1.41866482	"25275"	1.41866943	"17103"	1.42057048	"5014"	1.42381377	"1022"	1.42645328	"15680"	1.42758779	
"15674"	"14461"	1.00124708	"279"	1.00127410	"24407"	1.00258575	"24493"	1.00263012	"4003"	1.00285009	"22070"	1.01594244	
"28898"	"31836"	0.15229604	"24489"	0.21153316	"311"	1.00240271	"24493"	1.00838873	"13276"	1.00929865	"7253"	1.01220033	
"29679"	"18360"	0.13481499	"15468"	0.17380411	"28325"	0.18624931	"4741"	0.21760875	"2071"	0.32487172	"23998"	1.00719154	
"19756"	"7578"	1.00337465	"8559"	1.00368891	"6806"	1.00392039	"25509"	1.00473038	"11509"	1.00701420	"24514"	1.00781680	
"13329"	"2380"	1.03336214	"671"	1.14001982	"19651"	1.14094234	"3069"	1.15627065	"8607"	1.16998128	"7642"	1.20360750	
"4774"	"18336"	1.01643815	"4205"	1.02483805	"32254"	1.03240645	"6979"	1.05180492	"24128"	1.07704762	"30692"	1.08083223	
"30352"	"24255"	0.03879677	"15292"	0.34263020	"19968"	0.42502468	"2008"	0.61337367	"22757"	0.63255726	"29333"	1.00963929	
"9775"	"7791"	1.01078348	"19287"	1.01079378	"31830"	1.01084851	"26295"	1.02121481	"24948"	1.41596366	"11831"	1.41664360	
"1971"	"6094"	0.12686751	"15171"	0.16885180	"20793"	0.21385184	"6597"	0.22781891	"22693"	0.29701988	"12035"	1.00731076	
"30752"	"29925"	0.15002747	"28492"	0.30790348	"1378"	0.51220965	"30664"	1.00007847	"12613"	1.00123067	"30270"	1.00200591	
"23382"	"2325"	1.02083742	"27645"	1.03132676	"29137"	1.04936448	"32013"	1.08618350	"22949"	1.42234155	"20080"	1.42530032	
"4617"	"13672"	1.00106517	"13592"	1.00334488	"9971"	1.00562965	"306"	1.00594440	"20240"	1.00674829	"27756"	1.00782539	
"17822"	"22934"	0.11977056	"31267"	0.22519811	"14574"	0.70562936	"21470"	1.00029002	"21600"	1.00316019	"15486"	1.00487071	
"30955"	"2883"	0.26609720	"23053"	1.01032935	"26728"	1.01113692	"23984"	1.01587840	"28355"	1.02144190	"16189"	1.03312173	
"18995"	"3566"	0.36888834	"6173"	1.00765113	"8584"	1.03234553	"32428"	1.03696572	"27504"	1.04017016	"13137"	1.04335080	
"13124"	"19265"	0.28829615	"16697"	1.00270820	"24401"	1.00331681	"11781"	1.00352764	"24824"	1.00776919	"11900"	1.00833678	
"21019"	"4221"	0.15737822	"18408"	0.16733904	"13491"	0.18486177	"15452"	0.21783657	"152"	0.22359671	"4432"	0.25514183	
"10375"	"17596"	1.74131667	"30596"	1.75758182	"20473"	10.1985472	"30726"	10.2469634	"24403"	10.2472772	"23161"	10.2497577	
"9983"	"25205"	1.00308438	"4088"	1.00359935	"3626"	1.01297898	"22009"	1.01312807	"1784"	1.01574362	"22739"	1.01757231	
"7129"	"29986"	1.06381495	"15541"	1.06451612	"10782"	1.12976198	"2297"	1.41797334	"1484"	1.42389228	"31916"	1.42661621	
"11986"	"26644"	0.15199965	"16965"	0.16277901	"31453"	0.19889669	"22544"	0.25347455	"10123"	0.26480232	"13133"	0.46194443	
"31925"	"7934"	0.21237336	"9533"	0.25591082	"10511"	0.25889186	"11573"	0.28974197	"9732"	0.51268739	"8671"	1.00263182	
"5002"	"24493"	1.11549120	"15674"	1.13449940	"7036"	1.41735091	"26032"	1.45033214	"31769"	1.46983967	"16832"	1.48207367	
"2953"	"15524"	0.24014355	"4607"	0.25102424	"30708"	1.00959566	"17649"	1.01501627	"31713"	1.02343760	"3737"	1.02906188	
"4603"	"30279"	0.10599085	"146"	1.01295180	"30680"	1.42242019	"28926"	1.44851775	"27729"	1.73275782	"9960"	1.73362940	
"22379"	"21147"	1.01313196	"3468"	1.01513298	"21538"	1.01624152	"5226"	1.01774003	"26144"	1.01966320	"9704"	1.02098467	
"20084"	"9539"	0.08621342	"24027"	0.11452482	"21020"	0.17681330	"20649"	0.19207280	"18648"	0.33730793	"23584"	0.34290886	
"28908"	"20327"	1.03719411	"22767"	1.04664484	"25315"	1.41426715	"25009"	1.41581820	"29916"	1.41587866	"22196"	1.41652908	
"21825"	"124"	0.10024528	"738"	0.14574615	"21308"	0.15895565	"750"	0.27333896	"26066"	1.00626138	"16205"	1.00776121	
"23902"	"26064"	1.00475541	"23993"	1.00824032	"8593"	1.03360183	"6848"	1.07575296	"3350"	1.41638326	"25609"	1.41680326	
"16899"	"15154"	0.09744188	"4003"	1.00078412	"27289"	1.00108409	"311"	1.00128180	"21195"	1.00256843	"13276"	1.00279096	
"21396"	"32453"	0.07937515	"2274"	0.19825360	"29885"	0.20377311	"5548"	0.22744834	"421"	0.23819952	"1491"	0.28935351	
"26648"	"22614"	1.41900838	"16784"	1.41939145	"23588"	1.41998534	"8858"	1.42123938	"5019"	1.42137231	"22629"	1.42292592	
"25495"	"728"	1.00703827	"12171"	1.01178796	"30619"	1.02491448	"8917"	1.02805828	"2609"	1.02808180	"16662"	1.02877840	
"31769"	"15154"	1.01405523	"28898"	1.01822622	"16899"	1.03155652	"31836"	1.03943109	"15674"	1.04372327	"24489"	1.05727492	
"14248"	"8808"	1.00394279	"11907"	1.00948504	"9980"	1.01067038	"2071"	1.01516969	"18835"	1.03820409	"15468"	1.04602439	
"10106"	"17547"	0.07157910	"8636"	0.09255449	"1538"	0.12545410	"30439"	0.13662803	"30804"	0.13919056	"13731"	0.14902961	
"13276"	"7253"	0.03354129	"32020"	0.06414875	"9099"	0.07641572	"311"	0.11612283	"11556"	0.16348496	"16154"	0.46701221	
"340"	"533"	0.13543352	"6382"	0.17989556	"30631"	0.19213019	"29348"	0.30095422	"13264"	0.50738846	"12867"	1.00268046	
"5961"	"12389"	0.03673623	"6693"	0.07248163	"13281"	0.34653617	"18632"	0.44069278	"30024"	1.00020943	"23925"	1.00084129	
"27319"	"11995"	1.00091584	"10862"	1.00125177	"6595"	1.00205981	"17775"	1.00569923	"31315"	1.00758431	"3363"	1.01458929	
"7494"	"6280"	0.28097248	"15486"	0.28246824	"18235"	0.31275049	"8511"	0.35837476	"15335"	0.48235866	"24102"	0.48504931	
"7751"	"22787"	0.12726571	"2383"	0.42662999	"11939"	1.00152066	"12945"	1.00631444	"19547"	1.00815363	"15698"	1.01541696	
"2486"	"31582"	0.05355273	"19021"	0.06289811	"11177"	0.07117416	"18839"	0.08082269	"25007"	0.09199413	"20406"	0.09482131	
"7965"	"12027"	1.10817695	"28384"	1.11862628	"17594"	1.41631845	"23789"	1.41854813	"6489"	1.41947377	"25683"	1.42252977	
"23730"	"3737"	1.07984171	"4607"	1.46684617	"16751"	1.47548145	"4686"	1.47675964	"5754"	1.47766049	"19897"	1.48197400	
"27467"	"12937"	0.01697212	"5157"	0.14249928	"5591"	0.30085351	"14575"	1.00188731	"9873"	1.00917688	"22546"	1.02163362	
"16125"	"5795"	0.02719628	"9084"	0.27728795	"32271"	0.49208542	"572"	1.00372561	"25144"	1.00377451	"5380"	1.00606718	
"12572"	"21408"	1.00985870	"14007"	1.03041844	"17196"	1.05024493	"29001"	1.41535500	"15856"	1.41546014	"18830"	1.41617830	
"7987"	"1679"	0.34853445	"10825"	1.00163176	"26733"	1.00336494	"2646"	1.00336589	"31549"	1.00342143	"10179"	1.00609740	
"3601"	"26319"	1.00234037	"2574"	1.00449028	"3435"	1.00464594	"30780"	1.00515090	"11524"	1.01117922	"27504"	1.01590703	
"12639"	"3346"	0.15200274	"14214"	1.08321069	"2574"	1.41552966	"11763"	1.41810112	"7228"	1.41819856	"11524"	1.42137894	
"18534"	"4986"	1.44562010	"27628"	1.73236870	"32213"	1.73295418	"27205"	1.73348675	"12244"	1.73412105	"14661"	1.73553095	
"7029"	"22232"	1.00181183	"25965"	1.00242787	"30689"	1.00264155	"10000"	1.00841918	"8876"	1.01156655	"13774"	1.01258142	
"14412"	"19992"	1.01357279	"1322"	1.02296990	"4632"	1.02319523	"21385"	1.03630271	"814"	1.05008793	"28985"	1.05347131	
"7064"	"17993"	0.11643497	"25888"	0.15496543	"8584"	0.18199104	"32428"	0.18217362	"12298"	0.24668344	"1966"	0.39449235	
"16276"	"4955"	0.13358163	"12095"	1.00489729	"8630"	1.00795097	"29947"	1.00951839	"18540"	1.01087400	"27097"	1.01149630	
"11467"	"15813"	1.41940253	"3350"	1.42282192	"25609"	1.42304887	"12158"	1.42645540	"1419"	1.42863074	"4146"	1.43692958	
"21059"	"4615"	0.25439486	"22680"	0.30781597	"12613"	0.32434469	"1891"	0.39312856	"21776"	0.39360151	"30767"	0.44187935	
