ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist	6th	dist
"9364"	"25668"	1.29163479	"14864"	2.08385688	"17951"	2.41070550	"30619"	3.22970647	"1484"	3.36929338	"17193"	3.51565282	
"25668"	"9364"	1.29163479	"14864"	2.20777790	"1484"	2.46914735	"17951"	2.70234029	"29052"	4.33253079	"30619"	4.43914948	
"13316"	"17193"	4.31252954	"30619"	4.35063796	"29052"	5.15939141	"1484"	5.24364952	"9364"	6.20312327	"25668"	6.22549782	
"28750"	"30619"	4.73432710	"1484"	5.56779156	"13316"	6.63026448	"29052"	6.63525663	"9364"	7.50462063	"17193"	7.54388094	
"30619"	"1484"	2.41311088	"9364"	3.22970647	"17193"	3.66316751	"13316"	4.35063796	"25668"	4.43914948	"29052"	4.51002937	
"1484"	"30619"	2.41311088	"25668"	2.46914735	"17193"	3.25005662	"29052"	3.30100012	"9364"	3.36929338	"14864"	4.45315026	
"17193"	"29052"	3.15313813	"1484"	3.25005662	"9364"	3.51565282	"30619"	3.66316751	"13316"	4.31252954	"25668"	4.44850782	
"29052"	"17193"	3.15313813	"1484"	3.30100012	"25668"	4.33253079	"9364"	4.36251468	"14864"	4.44192310	"30619"	4.51002937	
"17951"	"9364"	2.41070550	"25668"	2.70234029	"14864"	3.49456239	"1484"	4.67630169	"30619"	5.33954891	"29052"	5.77322018	
"14864"	"9364"	2.08385688	"25668"	2.20777790	"17951"	3.49456239	"29052"	4.44192310	"1484"	4.45315026	"30619"	5.31356336	
"31146"	"25668"	1.31595259	"9364"	1.44562908	"17951"	1.85633458	"14864"	2.36177219	"1484"	3.54094986	"29052"	4.52913049	
"14757"	"30619"	4.11318312	"1484"	4.94664758	"31146"	5.32406507	"17951"	5.77363421	"9364"	5.88347665	"13316"	6.00912050	
"22055"	"30619"	1.32911466	"1484"	2.35685057	"13316"	4.29437765	"14757"	4.30349815	"14864"	4.34061308	"29052"	4.34418002	
"18639"	"30619"	4.21641049	"22055"	4.54552515	"1484"	5.32339893	"9364"	5.41871970	"13316"	5.56704846	"29052"	5.62439905	
"3350"	"9364"	4.05375606	"14864"	4.13316448	"30619"	4.22866802	"25668"	4.23787872	"22055"	4.41898305	"31146"	4.43954996	
"29286"	"9364"	2.65744449	"3350"	2.65848295	"14864"	2.73685291	"25668"	2.80233759	"31146"	3.09803291	"17951"	3.54760205	
"8009"	"29052"	3.01325956	"17193"	3.16639769	"1484"	3.28774056	"13316"	4.14613185	"22055"	4.33092046	"25668"	4.34579035	
