ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist
"9364"	"14864"	0.29411329	"25668"	0.67625018	"1484"	1.28724209	"17951"	1.28982638	"29052"	1.67020699	
"25668"	"14864"	0.64880354	"9364"	0.67625018	"1484"	1.00248068	"17951"	1.35069194	"29052"	2.02483848	
"13316"	"30619"	1.63265459	"1484"	2.29489693	"29052"	2.41576701	"17193"	2.46481645	"25668"	2.81007855	
"28750"	"30619"	2.73322820	"13316"	3.41118221	"29052"	3.79313209	"17951"	3.85505718	"1484"	3.95130804	
"30619"	"13316"	1.63265459	"9364"	1.76303980	"1484"	1.79772627	"14864"	2.05715310	"29052"	2.28438835	
"1484"	"25668"	1.00248068	"9364"	1.28724209	"14864"	1.42750924	"29052"	1.45997448	"30619"	1.79772627	
"17193"	"29052"	1.44641603	"1484"	1.95359093	"9364"	2.36790507	"13316"	2.46481645	"14864"	2.65756990	
"29052"	"17193"	1.44641603	"1484"	1.45997448	"9364"	1.67020699	"14864"	1.82653848	"25668"	2.02483848	
"17951"	"9364"	1.28982638	"25668"	1.35069194	"14864"	1.43009352	"1484"	1.85798667	"30619"	2.75200312	
"14864"	"9364"	0.29411329	"25668"	0.64880354	"1484"	1.42750924	"17951"	1.43009352	"29052"	1.82653848	
"31146"	"25668"	0.39287567	"14864"	0.72587475	"9364"	0.75332139	"1484"	1.15120627	"17951"	1.42776315	
"14757"	"30619"	2.75420876	"13316"	3.31677816	"1484"	3.35690399	"25668"	4.00620693	"9364"	4.05783562	
"22055"	"30619"	0.40603773	"13316"	1.49947120	"1484"	1.66454288	"14864"	2.00727975	"9364"	2.03027791	
"18639"	"30619"	2.79076946	"13316"	3.12342406	"22055"	3.19680720	"29052"	3.55773238	"28750"	3.57509335	
"3350"	"30619"	1.78251417	"22055"	2.04975228	"13316"	2.18522999	"18639"	2.37152740	"29052"	2.39593810	
"29286"	"9364"	1.07795732	"14864"	1.10095548	"25668"	1.60746579	"31146"	1.82623804	"17951"	1.84723575	
"8009"	"29052"	1.54146468	"1484"	1.91850979	"17193"	2.23916277	"13316"	2.37430232	"9364"	2.43643461	
