ID	1st	1st dist	2nd	2nd dist	3rd	3rd dist	4th	4th dist	5th	5th dist
"9364"	"13316"	13.2298345	"14864"	2.23755867	"30619"	2.45708421	"17193"	34.1921970	"25668"	5.00287577	
"25668"	"13316"	12.6498732	"28750"	13.0844445	"1484"	2.25685572	"17193"	34.5557828	"17951"	4.14658603	
"13316"	"1484"	12.2894928	"25668"	12.6498732	"30619"	12.8478359	"14864"	13.1162120	"9364"	13.2298345	
"28750"	"17951"	11.3194418	"14864"	11.6252865	"1484"	12.8894245	"25668"	13.0844445	"13316"	17.0638599	
"30619"	"13316"	12.8478359	"9364"	2.45708421	"14864"	3.32336737	"17193"	34.0757173	"29052"	4.70203169	
"1484"	"13316"	12.2894928	"28750"	12.8894245	"25668"	2.25685572	"17193"	34.4242899	"17951"	4.71311790	
"17193"	"13316"	22.4062028	"30619"	34.0757173	"9364"	34.1921970	"29052"	34.2492587	"14864"	34.2656913	
"29052"	"13316"	14.5261847	"17193"	34.2492587	"30619"	4.70203169	"9364"	5.48339465	"14864"	6.25158594	
"17951"	"28750"	11.3194418	"13316"	13.2369225	"17193"	34.6607269	"25668"	4.14658603	"1484"	4.71311790	
"14864"	"28750"	11.6252865	"13316"	13.1162120	"9364"	2.23755867	"30619"	3.32336737	"17193"	34.2656913	
